202320,None,SUI,Gold,Shooting Men's Free Pistol 50 metres Team,Shooting,1900 Summer,1900,Summer,Paris
202328,None,GER,Gold,Hockey Women's Hockey,Hockey,2004 Summer,2004,Summer,Athina
202332,None,NZL,Bronze,Rowing Men's Coxed Eights,Rowing,1976 Summer,1976,Summer,Montreal
202342,None,DEN,Silver,Cycling Men's Road Race Individual,Cycling,1964 Summer,1964,Summer,Tokyo
202347,None,ITA,Silver,Short Track Speed Skating Men's 5000 metres Relay,Short Track Speed Skating,2002 Winter,2002,Winter,Salt Lake City
202357,None,GER,Silver,Bobsleigh Men's Four,Bobsleigh,2010 Winter,2010,Winter,Vancouver
202360,None,URS,Silver,Rowing Men's Coxed Eights,Rowing,1952 Summer,1952,Summer,Helsinki
202370,None,RUS,Bronze,Sailing Mixed 10 metres,Sailing,1912 Summer,1912,Summer,Stockholm
202388,None,CAN,Bronze,Athletics Men's 4 x 100 metres Relay,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
202389,None,URS,Gold,Figure Skating Mixed Pairs,Figure Skating,1972 Winter,1972,Winter,Sapporo
202390,None,URS,Gold,Figure Skating Mixed Pairs,Figure Skating,1976 Winter,1976,Winter,Innsbruck
202391,None,URS,Gold,Figure Skating Mixed Pairs,Figure Skating,1980 Winter,1980,Winter,Lake Placid
202395,None,FRA,Bronze,Fencing Men's Foil Team,Fencing,1964 Summer,1964,Summer,Tokyo
202399,None,BRA,Gold,Volleyball Men's Volleyball,Volleyball,2004 Summer,2004,Summer,Athina
202400,None,BRA,Silver,Volleyball Men's Volleyball,Volleyball,2008 Summer,2008,Summer,Beijing
202401,None,BRA,Silver,Volleyball Men's Volleyball,Volleyball,2012 Summer,2012,Summer,London
202403,None,BRA,Gold,Football Men's Football,Football,2016 Summer,2016,Summer,Rio de Janeiro
202404,None,BRA,Gold,Football Men's Football,Football,2016 Summer,2016,Summer,Rio de Janeiro
202452,None,BRA,Silver,Beach Volleyball Women's Beach Volleyball,Beach Volleyball,1996 Summer,1996,Summer,Atlanta
202466,None,IND,Gold,Hockey Men's Hockey,Hockey,1948 Summer,1948,Summer,London
202476,None,CUB,Bronze,Wrestling Men's Super-Heavyweight Freestyle,Wrestling,2000 Summer,2000,Summer,Sydney
202504,None,USA,Gold,Football Women's Football,Football,2008 Summer,2008,Summer,Beijing
202505,None,USA,Gold,Football Women's Football,Football,2012 Summer,2012,Summer,London
202519,None,CUB,Bronze,Volleyball Men's Volleyball,Volleyball,1976 Summer,1976,Summer,Montreal
202523,None,ARG,Gold,Boxing Men's Heavyweight,Boxing,1928 Summer,1928,Summer,Amsterdam
202524,None,ESP,Silver,Basketball Men's Basketball,Basketball,2008 Summer,2008,Summer,Beijing
202548,None,ARG,Gold,Football Men's Football,Football,2004 Summer,2004,Summer,Athina
202564,None,CUB,Bronze,Boxing Men's Flyweight,Boxing,1972 Summer,1972,Summer,Munich
202577,None,ESP,Bronze,Boxing Men's Light-Flyweight,Boxing,1972 Summer,1972,Summer,Munich
202582,None,CUB,Silver,Judo Women's Heavyweight,Judo,1992 Summer,1992,Summer,Barcelona
202583,None,CUB,Silver,Judo Women's Heavyweight,Judo,1996 Summer,1996,Summer,Atlanta
202590,None,VEN,Gold,Boxing Men's Light-Flyweight,Boxing,1968 Summer,1968,Summer,Mexico City
202614,None,CUB,Gold,Judo Men's Lightweight,Judo,1976 Summer,1976,Summer,Montreal
202621,None,ESP,Silver,Synchronized Swimming Women's Team,Synchronized Swimming,2008 Summer,2008,Summer,Beijing
202635,None,USA,Bronze,Speed Skating Women's 1000 metres,Speed Skating,2002 Winter,2002,Winter,Salt Lake City
202636,None,USA,Bronze,Speed Skating Women's 1500 metres,Speed Skating,2002 Winter,2002,Winter,Salt Lake City
202679,None,CUB,Silver,Judo Men's Extra-Lightweight,Judo,1980 Summer,1980,Summer,Moskva
202686,None,URU,Bronze,Rowing Men's Double Sculls,Rowing,1948 Summer,1948,Summer,London
202687,None,URU,Bronze,Rowing Men's Double Sculls,Rowing,1952 Summer,1952,Summer,Helsinki
202697,None,CUB,Bronze,Shooting Men's Skeet,Shooting,2004 Summer,2004,Summer,Athina
202702,None,ESP,Silver,Basketball Women's Basketball,Basketball,2016 Summer,2016,Summer,Rio de Janeiro
202704,None,CUB,Silver,Baseball Men's Baseball,Baseball,2008 Summer,2008,Summer,Beijing
202705,None,ARG,Silver,Hockey Women's Hockey,Hockey,2012 Summer,2012,Summer,London
202706,None,CUB,Silver,Baseball Men's Baseball,Baseball,2000 Summer,2000,Summer,Sydney
202726,None,ESP,Gold,Hockey Women's Hockey,Hockey,1992 Summer,1992,Summer,Barcelona
202734,None,MEX,Bronze,Boxing Men's Middleweight,Boxing,2016 Summer,2016,Summer,Rio de Janeiro
202773,None,ESP,Silver,Basketball Men's Basketball,Basketball,2012 Summer,2012,Summer,London
202774,None,ESP,Bronze,Basketball Men's Basketball,Basketball,2016 Summer,2016,Summer,Rio de Janeiro
202785,None,URU,Bronze,Boxing Men's Bantamweight,Boxing,1964 Summer,1964,Summer,Tokyo
202793,None,ARG,Silver,Sailing Mixed 6 metres,Sailing,1948 Summer,1948,Summer,London
202795,None,USA,Silver,Rowing Men's Coxless Fours,Rowing,1988 Summer,1988,Summer,Seoul
202798,None,GBR,Silver,Rugby Sevens Men's Rugby Sevens,Rugby Sevens,2016 Summer,2016,Summer,Rio de Janeiro
202799,None,POL,Silver,Fencing Men's Foil Team,Fencing,1996 Summer,1996,Summer,Atlanta
202803,None,USA,Silver,Polo Men's Polo,Polo,1924 Summer,1924,Summer,Paris
202821,None,USA,Gold,Wrestling Men's Lightweight Freestyle,Wrestling,1904 Summer,1904,Summer,St. Louis
202828,None,BEL,Gold,Athletics Men's 3000 metres Steeplechase,Athletics,1964 Summer,1964,Summer,Tokyo
202832,None,NED,Bronze,Rowing Men's Coxed Eights,Rowing,2016 Summer,2016,Summer,Rio de Janeiro
202839,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,2002 Winter,2002,Winter,Salt Lake City
202846,None,FRA,Silver,Shooting Men's Military Rifle Prone 300 metres Team,Shooting,1920 Summer,1920,Summer,Antwerpen
202853,None,FRA,Silver,Shooting Men's Free Rifle 400 600 and 800 metres Team,Shooting,1924 Summer,1924,Summer,Paris
202903,None,GDR,Silver,Biathlon Men's 20 kilometres,Biathlon,1984 Winter,1984,Winter,Sarajevo
202905,None,GDR,Gold,Biathlon Men's 10 kilometres Sprint,Biathlon,1988 Winter,1988,Winter,Calgary
202906,None,GDR,Gold,Biathlon Men's 20 kilometres,Biathlon,1988 Winter,1988,Winter,Calgary
202934,None,USA,Silver,Alpine Skiing Women's Giant Slalom,Alpine Skiing,1992 Winter,1992,Winter,Albertville
202935,None,USA,Gold,Alpine Skiing Women's Super G,Alpine Skiing,1994 Winter,1994,Winter,Lillehammer
202938,None,GDR,Silver,Volleyball Women's Volleyball,Volleyball,1980 Summer,1980,Summer,Moskva
202942,None,FRA,Silver,Tug-Of-War Men's Tug-Of-War,Tug-Of-War,1900 Summer,1900,Summer,Paris
202945,None,EUN,Silver,Athletics Women's 1500 metres,Athletics,1992 Summer,1992,Summer,Barcelona
202950,None,AUT,Silver,Swimming Men's 100 metres Backstroke,Swimming,2004 Summer,2004,Summer,Athina
202951,None,AUT,Silver,Swimming Men's 200 metres Backstroke,Swimming,2004 Summer,2004,Summer,Athina
202957,None,YUG,Gold,Football Men's Football,Football,1960 Summer,1960,Summer,Roma
202978,None,GBR,Bronze,Shooting Men's Running Target Single Shot,Shooting,1908 Summer,1908,Summer,London
202982,None,USA,Gold,Athletics Women's 4 x 100 metres Relay,Athletics,1932 Summer,1932,Summer,Los Angeles
202985,None,USA,Gold,Athletics Women's 4 x 100 metres Relay,Athletics,1936 Summer,1936,Summer,Berlin
202997,None,USA,Bronze,Sailing Mixed Three Person Keelboat,Sailing,1964 Summer,1964,Summer,Tokyo
202999,None,GBR,Bronze,Hockey Women's Hockey,Hockey,2012 Summer,2012,Summer,London
203000,None,CAN,Silver,Judo Men's Heavyweight,Judo,1964 Summer,1964,Summer,Tokyo
203004,None,USA,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1948 Summer,1948,Summer,London
203007,None,AUS,Bronze,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,1968 Summer,1968,Summer,Mexico City
203008,None,AUS,Silver,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1968 Summer,1968,Summer,Mexico City
203014,None,USA,Silver,Fencing Men's Sabre Team,Fencing,2008 Summer,2008,Summer,Beijing
203027,None,AUS,Bronze,Cycling Men's Individual Time Trial,Cycling,2004 Summer,2004,Summer,Athina
203043,None,GBR,Silver,Sailing Men's Two Person Dinghy,Sailing,2004 Summer,2004,Summer,Athina
203044,None,GBR,Silver,Sailing Men's Two Person Dinghy,Sailing,2008 Summer,2008,Summer,Beijing
203048,None,AUS,Bronze,Swimming Men's 100 metres Breaststroke,Swimming,1992 Summer,1992,Summer,Barcelona
203053,None,AUS,Bronze,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1996 Summer,1996,Summer,Atlanta
203055,None,CAN,Bronze,Sailing Mixed 6 metres,Sailing,1932 Summer,1932,Summer,Los Angeles
203059,None,USA,Gold,Beach Volleyball Men's Beach Volleyball,Beach Volleyball,2008 Summer,2008,Summer,Beijing
203062,None,USA,Gold,Rugby Men's Rugby,Rugby,1924 Summer,1924,Summer,Paris
203065,None,FRA,Bronze,Water Polo Men's Water Polo,Water Polo,1928 Summer,1928,Summer,Amsterdam
203083,None,ARG,Silver,Hockey Women's Hockey,Hockey,2000 Summer,2000,Summer,Sydney
203084,None,ARG,Bronze,Hockey Women's Hockey,Hockey,2004 Summer,2004,Summer,Athina
203099,None,URS,Gold,Canoeing Men's Canadian Singles 500 metres,Canoeing,1976 Summer,1976,Summer,Montreal
203103,None,POL,Bronze,Athletics Women's Pole Vault,Athletics,2004 Summer,2004,Summer,Athina
203112,None,URS,Gold,Equestrianism Mixed Three-Day Event Team,Equestrianism,1980 Summer,1980,Summer,Moskva
203113,None,URS,Gold,Basketball Women's Basketball,Basketball,1980 Summer,1980,Summer,Moskva
203118,None,FRA,Gold,Equestrianism Mixed Jumping Team,Equestrianism,1976 Summer,1976,Summer,Montreal
203127,None,TCH,Silver,Canoeing Men's Canadian Doubles Slalom,Canoeing,1992 Summer,1992,Summer,Barcelona
203128,None,CZE,Silver,Canoeing Men's Canadian Doubles Slalom,Canoeing,1996 Summer,1996,Summer,Atlanta
203131,None,FRA,Bronze,Sailing Men's Two Person Keelboat,Sailing,2004 Summer,2004,Summer,Athina
203134,None,USA,Silver,Bobsleigh Women's Two,Bobsleigh,2006 Winter,2006,Winter,Torino
203137,None,GDR,Gold,Athletics Women's 4 x 400 metres Relay,Athletics,1976 Summer,1976,Summer,Montreal
203140,None,USA,Silver,Rowing Women's Coxed Quadruple Sculls,Rowing,1984 Summer,1984,Summer,Los Angeles
203155,None,GER,Bronze,Athletics Women's 4 x 400 metres Relay,Athletics,1996 Summer,1996,Summer,Atlanta
203157,None,FRG,Bronze,Water Polo Men's Water Polo,Water Polo,1984 Summer,1984,Summer,Los Angeles
203160,None,GER,Gold,Athletics Men's Javelin Throw,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
203162,None,SWE,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1994 Winter,1994,Winter,Lillehammer
203169,None,NED,Bronze,Water Polo Men's Water Polo,Water Polo,1948 Summer,1948,Summer,London
203170,None,SUI,Silver,Bobsleigh Men's Four,Bobsleigh,1998 Winter,1998,Winter,Nagano
203203,None,FRA,Gold,Football Men's Football,Football,1984 Summer,1984,Summer,Los Angeles
203247,None,ESP,Bronze,Hockey Men's Hockey,Hockey,1960 Summer,1960,Summer,Roma
203283,None,COL,Bronze,Boxing Men's Featherweight,Boxing,1972 Summer,1972,Summer,Munich
203290,None,CUB,Silver,Canoeing Men's Canadian Doubles 1000 metres,Canoeing,2000 Summer,2000,Summer,Sydney
203291,None,CUB,Silver,Canoeing Men's Canadian Doubles 500 metres,Canoeing,2004 Summer,2004,Summer,Athina
203307,None,CHI,Bronze,Football Men's Football,Football,2000 Summer,2000,Summer,Sydney
203310,None,CUB,Bronze,Boxing Men's Light-Heavyweight,Boxing,1980 Summer,1980,Summer,Moskva
203314,None,VEN,Silver,Athletics Women's Triple Jump,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
203315,None,USA,Silver,Basketball Women's Basketball,Basketball,1976 Summer,1976,Summer,Montreal
203319,None,YUG,Silver,Water Polo Men's Water Polo,Water Polo,1980 Summer,1980,Summer,Moskva
203320,None,YUG,Gold,Water Polo Men's Water Polo,Water Polo,1984 Summer,1984,Summer,Los Angeles
203325,None,USA,Bronze,Curling Men's Curling,Curling,2006 Winter,2006,Winter,Torino
203340,None,HUN,Bronze,Athletics Men's 50 kilometres Walk,Athletics,1952 Summer,1952,Summer,Helsinki
203361,None,FIN,Bronze,Modern Pentathlon Men's Team,Modern Pentathlon,1952 Summer,1952,Summer,Helsinki
203362,None,NOR,Bronze,Handball Women's Handball,Handball,2000 Summer,2000,Summer,Sydney
203408,None,MEX,Gold,Boxing Men's Featherweight,Boxing,1968 Summer,1968,Summer,Mexico City
203414,None,MEX,Silver,Fencing Women's Foil Individual,Fencing,1968 Summer,1968,Summer,Mexico City
203428,None,USA,Bronze,Figure Skating Women's Singles,Figure Skating,1960 Winter,1960,Winter,Squaw Valley
203432,None,SWE,Silver,Football Women's Football,Football,2016 Summer,2016,Summer,Rio de Janeiro
203436,None,FIN,Gold,Cross Country Skiing Women's 5 kilometres,Cross Country Skiing,1992 Winter,1992,Winter,Albertville
203437,None,FIN,Silver,Cross Country Skiing Women's 15 kilometres,Cross Country Skiing,1992 Winter,1992,Winter,Albertville
203466,None,ESP,Silver,Water Polo Men's Water Polo,Water Polo,1992 Summer,1992,Summer,Barcelona
203467,None,ESP,Gold,Water Polo Men's Water Polo,Water Polo,1996 Summer,1996,Summer,Atlanta
203477,None,HAI,Bronze,Shooting Men's Free Rifle 400 600 and 800 metres Team,Shooting,1924 Summer,1924,Summer,Paris
203480,None,FRA,Bronze,Rowing Men's Coxless Pairs,Rowing,1996 Summer,1996,Summer,Atlanta
203481,None,FRA,Gold,Rowing Men's Coxless Pairs,Rowing,2000 Summer,2000,Summer,Sydney
203490,None,FRA,Bronze,Freestyle Skiing Men's Halfpipe,Freestyle Skiing,2014 Winter,2014,Winter,Sochi
203514,None,USA,Gold,Athletics Women's 100 metres Hurdles,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
203517,None,USA,Gold,Basketball Men's Basketball,Basketball,1948 Summer,1948,Summer,London
203545,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,2002 Winter,2002,Winter,Salt Lake City
203548,None,AUS,Gold,Equestrianism Mixed Three-Day Event Team,Equestrianism,1992 Summer,1992,Summer,Barcelona
203549,None,AUS,Gold,Equestrianism Mixed Three-Day Event Team,Equestrianism,1996 Summer,1996,Summer,Atlanta
203551,None,AUT,Silver,Alpine Skiing Women's Giant Slalom,Alpine Skiing,1952 Winter,1952,Winter,Oslo
203554,None,BEL,Bronze,Fencing Men's epee Team,Fencing,1908 Summer,1908,Summer,London
203555,None,GER,Gold,Rowing Men's Coxless Fours,Rowing,1936 Summer,1936,Summer,Berlin
203558,None,SUI,Silver,Fencing Women's epee Team,Fencing,2000 Summer,2000,Summer,Sydney
203566,None,MEX,Silver,Archery Women's Individual,Archery,2012 Summer,2012,Summer,London
203577,None,ITA,Gold,Equestrianism Mixed Three-Day Event Individual,Equestrianism,1980 Summer,1980,Summer,Moskva
203578,None,ITA,Silver,Equestrianism Mixed Three-Day Event Team,Equestrianism,1980 Summer,1980,Summer,Moskva
203595,None,ITA,Silver,Equestrianism Mixed Three-Day Event Team,Equestrianism,1980 Summer,1980,Summer,Moskva
203616,None,URS,Gold,Shooting Men's Running Target Single And Double Shot,Shooting,1956 Summer,1956,Summer,Melbourne
203639,None,URS,Silver,Fencing Men's Foil Individual,Fencing,1976 Summer,1976,Summer,Montreal
203641,None,URS,Bronze,Fencing Men's Foil Individual,Fencing,1980 Summer,1980,Summer,Moskva
203642,None,URS,Silver,Fencing Men's Foil Team,Fencing,1980 Summer,1980,Summer,Moskva
203643,None,URS,Bronze,Fencing Men's Foil Individual,Fencing,1988 Summer,1988,Summer,Seoul
203644,None,URS,Gold,Fencing Men's Foil Team,Fencing,1988 Summer,1988,Summer,Seoul
203647,None,URU,Gold,Football Men's Football,Football,1924 Summer,1924,Summer,Paris
203659,None,ITA,Gold,Gymnastics Men's Team All-Around,Gymnastics,1912 Summer,1912,Summer,Stockholm
203661,None,ITA,Silver,Fencing Men's Sabre Team,Fencing,1980 Summer,1980,Summer,Moskva
203670,None,URS,Silver,Fencing Men's Foil Team,Fencing,1972 Summer,1972,Summer,Munich
203673,None,URS,Bronze,Cycling Men's Team Pursuit 4000 metres,Cycling,1960 Summer,1960,Summer,Roma
203681,None,RUS,Silver,Biathlon Women's 4 x 6 kilometres Relay,Biathlon,2014 Winter,2014,Winter,Sochi
203683,None,EUN,Gold,Athletics Women's 3000 metres,Athletics,1992 Summer,1992,Summer,Barcelona
203686,None,URS,Silver,Canoeing Men's Kayak Doubles 500 metres,Canoeing,1976 Summer,1976,Summer,Montreal
203687,None,URS,Gold,Canoeing Men's Kayak Doubles 1000 metres,Canoeing,1976 Summer,1976,Summer,Montreal
203693,None,URS,Bronze,Football Men's Football,Football,1980 Summer,1980,Summer,Moskva
203704,None,BRA,Silver,Football Men's Football,Football,1988 Summer,1988,Summer,Seoul
203706,None,BEL,Silver,Water Polo Men's Water Polo,Water Polo,1900 Summer,1900,Summer,Paris
203708,None,RUS,Gold,Synchronized Swimming Women's Team,Synchronized Swimming,2008 Summer,2008,Summer,Beijing
203709,None,RUS,Gold,Synchronized Swimming Women's Duet,Synchronized Swimming,2012 Summer,2012,Summer,London
203710,None,RUS,Gold,Synchronized Swimming Women's Team,Synchronized Swimming,2012 Summer,2012,Summer,London
203711,None,RUS,Gold,Synchronized Swimming Women's Duet,Synchronized Swimming,2016 Summer,2016,Summer,Rio de Janeiro
203712,None,RUS,Gold,Synchronized Swimming Women's Team,Synchronized Swimming,2016 Summer,2016,Summer,Rio de Janeiro
203714,None,URS,Gold,Athletics Women's Discus Throw,Athletics,1952 Summer,1952,Summer,Helsinki
203715,None,URS,Bronze,Athletics Women's Discus Throw,Athletics,1956 Summer,1956,Summer,Melbourne
203716,None,URS,Gold,Athletics Women's Discus Throw,Athletics,1960 Summer,1960,Summer,Roma
203723,None,RUS,Silver,Biathlon Women's 4 x 7.5 kilometres Relay,Biathlon,1998 Winter,1998,Winter,Nagano
203726,None,ESP,Silver,Basketball Men's Basketball,Basketball,1984 Summer,1984,Summer,Los Angeles
203729,None,CUB,Silver,Athletics Women's 4 x 100 metres Relay,Athletics,1968 Summer,1968,Summer,Mexico City
203730,None,CUB,Bronze,Athletics Women's 4 x 100 metres Relay,Athletics,1972 Summer,1972,Summer,Munich
203733,None,ITA,Silver,Basketball Men's Basketball,Basketball,2004 Summer,2004,Summer,Athina
203743,None,GER,Gold,Equestrianism Mixed Three-Day Event Individual,Equestrianism,2008 Summer,2008,Summer,Beijing
203744,None,GER,Gold,Equestrianism Mixed Three-Day Event Team,Equestrianism,2008 Summer,2008,Summer,Beijing
203746,None,RUS,Silver,Handball Women's Handball,Handball,2008 Summer,2008,Summer,Beijing
203750,None,GER,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,1932 Winter,1932,Winter,Lake Placid
203777,None,ITA,Bronze,Sailing Men's One Person Dinghy,Sailing,2008 Summer,2008,Summer,Beijing
203788,None,ESP,Bronze,Handball Men's Handball,Handball,2008 Summer,2008,Summer,Beijing
203800,None,ESP,Silver,Basketball Women's Basketball,Basketball,2016 Summer,2016,Summer,Rio de Janeiro
203803,None,CUB,Gold,Boxing Men's Flyweight,Boxing,1996 Summer,1996,Summer,Atlanta
203804,None,CUB,Bronze,Boxing Men's Light-Flyweight,Boxing,2000 Summer,2000,Summer,Sydney
203814,None,CUB,Gold,Baseball Men's Baseball,Baseball,1996 Summer,1996,Summer,Atlanta
203825,None,GBR,Silver,Rowing Women's Quadruple Sculls,Rowing,2004 Summer,2004,Summer,Athina
203826,None,GBR,Gold,Cycling Women's Individual Pursuit 3000 metres,Cycling,2008 Summer,2008,Summer,Beijing
203843,None,ARG,Gold,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
203848,None,CUB,Silver,Wrestling Men's Light-Heavyweight Freestyle,Wrestling,2000 Summer,2000,Summer,Sydney
203874,None,URS,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1968 Winter,1968,Winter,Grenoble
203875,None,URS,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1972 Winter,1972,Winter,Sapporo
203876,None,NED,Gold,Speed Skating Men's 5000 metres,Speed Skating,1998 Winter,1998,Winter,Nagano
203877,None,NED,Gold,Speed Skating Men's 10000 metres,Speed Skating,1998 Winter,1998,Winter,Nagano
203878,None,NED,Silver,Speed Skating Men's 10000 metres,Speed Skating,2002 Winter,2002,Winter,Salt Lake City
203879,None,FRA,Gold,Fencing Men's Foil Team,Fencing,1948 Summer,1948,Summer,London
203880,None,FRA,Gold,Fencing Men's Foil Team,Fencing,1952 Summer,1952,Summer,Helsinki
203899,None,NED,Gold,Equestrianism Mixed Jumping Team,Equestrianism,1992 Summer,1992,Summer,Barcelona
203903,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1952 Winter,1952,Winter,Oslo
203909,None,BRA,Silver,Football Men's Football,Football,2012 Summer,2012,Summer,London
203915,None,NOR,Bronze,Ski Jumping Men's Large Hill Team,Ski Jumping,2006 Winter,2006,Winter,Torino
203923,None,BRA,Bronze,Football Men's Football,Football,1996 Summer,1996,Summer,Atlanta
203925,None,BRA,Bronze,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
203926,None,BRA,Silver,Football Men's Football,Football,1984 Summer,1984,Summer,Los Angeles
203933,None,HUN,Silver,Fencing Women's Foil Team,Fencing,1972 Summer,1972,Summer,Munich
203934,None,ITA,Silver,Cycling Men's Team Pursuit 4000 metres,Cycling,1964 Summer,1964,Summer,Tokyo
203935,None,ITA,Bronze,Cycling Men's Team Pursuit 4000 metres,Cycling,1968 Summer,1968,Summer,Mexico City
203946,None,FRA,Bronze,Rowing Men's Coxless Fours,Rowing,2008 Summer,2008,Summer,Beijing
203955,None,GER,Gold,Tug-Of-War Men's Tug-Of-War,Tug-Of-War,1906 Summer,1906,Summer,Athina
203958,None,GER,Bronze,Weightlifting Men's Unlimited Two Hands,Weightlifting,1906 Summer,1906,Summer,Athina
203967,None,AUS,Silver,Baseball Men's Baseball,Baseball,2004 Summer,2004,Summer,Athina
203969,None,GBR,Silver,Sailing Mixed 8 metres,Sailing,1924 Summer,1924,Summer,Paris
203975,None,FIN,Silver,Freestyle Skiing Men's Moguls,Freestyle Skiing,2006 Winter,2006,Winter,Torino
203989,None,SWE,Silver,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing,1964 Winter,1964,Winter,Innsbruck
203990,None,SWE,Gold,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,1964 Winter,1964,Winter,Innsbruck
203993,None,SWE,Silver,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,1968 Winter,1968,Winter,Grenoble
203994,None,SWE,Gold,Shooting Men's Small-Bore Rifle Prone 50 metres,Shooting,1932 Summer,1932,Summer,Los Angeles
203997,None,KEN,Gold,Athletics Men's 1500 metres,Athletics,1988 Summer,1988,Summer,Seoul
204002,None,SWE,Silver,Gymnastics Women's Team Portable Apparatus,Gymnastics,1956 Summer,1956,Summer,Melbourne
204015,None,UKR,Silver,Rowing Women's Quadruple Sculls,Rowing,1996 Summer,1996,Summer,Atlanta
204024,None,GBR,Gold,Equestrianism Men's Three-Day Event Team,Equestrianism,1956 Summer,1956,Summer,Stockholm
204037,None,BEL,Bronze,Weightlifting Men's Lightweight,Weightlifting,1920 Summer,1920,Summer,Antwerpen
204040,None,AUS,Silver,Swimming Women's 4 x 200 metres Freestyle Relay,Swimming,2000 Summer,2000,Summer,Sydney
204042,None,AUS,Silver,Swimming Women's 4 x 100 metres Medley Relay,Swimming,2000 Summer,2000,Summer,Sydney
204045,None,AUS,Gold,Swimming Women's 4 x 100 metres Medley Relay,Swimming,2004 Summer,2004,Summer,Athina
204047,None,GBR,Bronze,Athletics Men's 4 x 400 metres Relay,Athletics,2008 Summer,2008,Summer,Beijing
204052,None,NZL,Silver,Shooting Women's Trap,Shooting,2016 Summer,2016,Summer,Rio de Janeiro
204053,None,USA,Gold,Volleyball Men's Volleyball,Volleyball,2008 Summer,2008,Summer,Beijing
204072,None,USA,Gold,Rugby Men's Rugby,Rugby,1900 Summer,1900,Summer,Paris
204074,None,USA,Gold,Sailing Mixed 6 metres,Sailing,1952 Summer,1952,Summer,Helsinki
204078,None,USA,Silver,Diving Men's Platform,Diving,1936 Summer,1936,Summer,Berlin
204080,None,USA,Gold,Volleyball Men's Volleyball,Volleyball,1988 Summer,1988,Summer,Seoul
204082,None,SWE,Bronze,Ice Hockey Women's Ice Hockey,Ice Hockey,2002 Winter,2002,Winter,Salt Lake City
204083,None,SWE,Silver,Ice Hockey Women's Ice Hockey,Ice Hockey,2006 Winter,2006,Winter,Torino
204089,None,CAN,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,1956 Winter,1956,Winter,Cortina d'Ampezzo
204090,None,CAN,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1960 Winter,1960,Winter,Squaw Valley
204098,None,USA,Bronze,Diving Women's Platform,Diving,1932 Summer,1932,Summer,Los Angeles
204104,None,FIN,Silver,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon,1972 Winter,1972,Winter,Sapporo
204129,None,FRA,Silver,Cricket Men's Cricket,Cricket,1900 Summer,1900,Summer,Paris
204140,None,SWE,Gold,Gymnastics Women's Team Portable Apparatus,Gymnastics,1952 Summer,1952,Summer,Helsinki
204154,None,ITA,Bronze,Boxing Men's Heavyweight,Boxing,1964 Summer,1964,Summer,Tokyo
204158,None,BRA,Silver,Football Women's Football,Football,2008 Summer,2008,Summer,Beijing
204176,None,BRA,Bronze,Basketball Men's Basketball,Basketball,1960 Summer,1960,Summer,Roma
204177,None,BRA,Bronze,Basketball Men's Basketball,Basketball,1964 Summer,1964,Summer,Tokyo
204187,None,ITA,Bronze,Volleyball Men's Volleyball,Volleyball,2000 Summer,2000,Summer,Sydney
204190,None,ARG,Gold,Football Men's Football,Football,2004 Summer,2004,Summer,Athina
204193,None,BRA,Silver,Football Women's Football,Football,2004 Summer,2004,Summer,Athina
204194,None,BRA,Silver,Football Women's Football,Football,2008 Summer,2008,Summer,Beijing
204218,None,USA,Silver,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1956 Summer,1956,Summer,Melbourne
204221,None,ROU,Silver,Shooting Mixed Rapid-Fire Pistol 25 metres,Shooting,1968 Summer,1968,Summer,Mexico City
204223,None,ROU,Bronze,Equestrianism Mixed Dressage Team,Equestrianism,1980 Summer,1980,Summer,Moskva
204224,None,ROU,Bronze,Rowing Women's Double Sculls,Rowing,1980 Summer,1980,Summer,Moskva
204225,None,ROU,Gold,Rowing Women's Single Sculls,Rowing,1984 Summer,1984,Summer,Los Angeles
204226,None,GDR,Bronze,Biathlon Men's 20 kilometres,Biathlon,1980 Winter,1980,Winter,Lake Placid
204227,None,GDR,Silver,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon,1980 Winter,1980,Winter,Lake Placid
